fid,author_name,text_title,event_id,start_page_event,end_page_event,page_event_number,line,text_place_title,temporality,narrative_status,interaction,specific_interaction,violence,harmony,conflict,character_id,family_name,given_name,nickname,page_first_mentioned,gender,number,religion,relig_att_char,religious_conversion,vitality,cause_of_death,non-human,country_of_birth,presentmentioned,char_story_title,place_name,location_modality,location_religion,relig_att_loc,geolocation,ontology,location_name,mentioned,location_country,collection_id,collection_recordtitle,author_birth_location,gender_author,country_of_birth_author,birth_date,text_place_id,location_id,author_id,author_birth_place_id
"17","Pritam, Amrita",Pinjar,"350","16","16","1",Rashida packed is odds and ends,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,"353",Unknown,Rahima,NA,"16",Male,Single,Muslim,Speculation,NA,NA,NA,NA,NA,Present,"Unknown, Rahima in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"18","Pritam, Amrita",Pinjar,"385","21","22","2",Rashida was overcome with emotion. He had won over the Hindu girl.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,Religion,"248",Sahukars,Pooro,NA,"1",Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"19","Pritam, Amrita",Pinjar,"385","21","22","2",Rashida was overcome with emotion. He had won over the Hindu girl.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,Religion,"297",Shaikh,Rashida,NA,"4",Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Shaikh, Rashida in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"20","Pritam, Amrita",Pinjar,"387","21","21","3","One full hour later, the midwife came out and said",Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,"297",Shaikh,Rashida,NA,"4",Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Shaikh, Rashida in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"21","Pritam, Amrita",Pinjar,"387","21","21","3","One full hour later, the midwife came out and said",Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,"368",Unknown,Midwife,NA,"20",Unknown,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Unknown, Midwife in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"22","Pritam, Amrita",Pinjar,"387","21","21","3","One full hour later, the midwife came out and said",Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,NA,"445",Shaikh,Javed,NA,"21",Male,Single,Muslim,NA,NA,NA,NA,NA,Pakistan,Present,"Shaikh, Javed in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"23","Pritam, Amrita",Pinjar,"389","22","22","2",Hamida opened her eyes. They seemed to say,Rashida's home in Pinjar,NA,NA,NA,NA,NA,NA,Interpersonal,"248",Sahukars,Pooro,NA,"1",Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"24","Pritam, Amrita",Pinjar,"390","22","22","3","A strange, strong emotion welled up in Hamida’s bosom.",Rashida's home in Pinjar,NA,NA,NA,NA,NA,Interpersonal,Interpersonal,"248",Sahukars,Pooro,NA,"1",Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"25","Pritam, Amrita",Pinjar,"390","22","22","3","A strange, strong emotion welled up in Hamida’s bosom.",Rashida's home in Pinjar,NA,NA,NA,NA,NA,Interpersonal,Interpersonal,"445",Shaikh,Javed,NA,"21",Male,Single,Muslim,NA,NA,NA,NA,NA,Pakistan,Present,"Shaikh, Javed in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"26","Pritam, Amrita",Pinjar,"391","22","23","1",The boy tugged at his mother’s breast.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,Interpersonal,Interpersonal,"248",Sahukars,Pooro,NA,"1",Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"27","Pritam, Amrita",Pinjar,"391","22","23","1",The boy tugged at his mother’s breast.,Rashida's home in Pinjar,NA,NA,NA,NA,NA,Interpersonal,Interpersonal,"445",Shaikh,Javed,NA,"21",Male,Single,Muslim,NA,NA,NA,NA,NA,Pakistan,Present,"Shaikh, Javed in Pinjar",Rashida's home,Private,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"334","3114","35","36"
"28","Pritam, Amrita",Pinjar,"396","23","23","2",One morning Hamida went out to the fields,Field in Pinjar,NA,NA,NA,NA,NA,NA,NA,"248",Sahukars,Pooro,NA,"1",Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Field,Public,Unknown,NA,CREATED,NA,Chatto Village: Field,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"2824","3110","35","36"
"29","Pritam, Amrita",Pinjar,"398","23","23","3",she came to the well used by the Muslims,Well in Pinjar,NA,NA,NA,NA,NA,Religion,NA,"248",Sahukars,Pooro,NA,"1",Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Well,Public,Muslim,NA,CREATED,NA,Sakar Village: Well,FALSE,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"397","3116","35","36"
"30","Pritam, Amrita",Pinjar,"401","23","23","4","she recognized the girl, Kammo, who lived",Well in Pinjar,NA,NA,NA,NA,NA,NA,NA,"248",Sahukars,Pooro,NA,"1",Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Well,Public,Muslim,NA,CREATED,NA,Sakar Village: Well,FALSE,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"397","3116","35","36"
"31","Pritam, Amrita",Pinjar,"401","23","23","4","she recognized the girl, Kammo, who lived",Well in Pinjar,NA,NA,NA,NA,NA,NA,NA,"399",Unknown,Kammo,NA,"23",Female,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,"Unknown, Kammo in Pinjar",Well,Public,Muslim,NA,CREATED,NA,Sakar Village: Well,FALSE,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"397","3116","35","36"
"32","Pritam, Amrita",Pinjar,"402","23","24","1",Hamida went up to Kammo,Well in Pinjar,NA,NA,NA,NA,NA,Gender,NA,"248",Sahukars,Pooro,NA,"1",Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Well,Public,Muslim,NA,CREATED,NA,Sakar Village: Well,FALSE,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"397","3116","35","36"
"33","Pritam, Amrita",Pinjar,"402","23","24","1",Hamida went up to Kammo,Well in Pinjar,NA,NA,NA,NA,NA,Gender,NA,"399",Unknown,Kammo,NA,"23",Female,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,"Unknown, Kammo in Pinjar",Well,Public,Muslim,NA,CREATED,NA,Sakar Village: Well,FALSE,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"397","3116","35","36"
"34","Pritam, Amrita",Pinjar,"403","24","25","1","“I can carry the pitcher for you,” said Hamida",Field in Pinjar,NA,NA,NA,NA,NA,Gender,NA,"248",Sahukars,Pooro,NA,"1",Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Sahukars, Pooro in Pinjar",Field,Public,Unknown,NA,CREATED,NA,Chatto Village: Field,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"2824","3110","35","36"
"35","Pritam, Amrita",Pinjar,"403","24","25","1","“I can carry the pitcher for you,” said Hamida",Field in Pinjar,NA,NA,NA,NA,NA,Gender,NA,"399",Unknown,Kammo,NA,"23",Female,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,"Unknown, Kammo in Pinjar",Field,Public,Unknown,NA,CREATED,NA,Chatto Village: Field,NA,Pakistan,NA,NA,Mandi Bahauddin,Female,Pakistan,31 Aug  1919,"2824","3110","35","36"
"36","Hosain, Attia",Sunlight on a Broken Column,"404","156","156","2",On the day of the Viceroy's arrival the,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,"374",Police,Unknown,NA,"156",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Police, Unknown in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","370","22","21","5819"
"37","Hosain, Attia",Sunlight on a Broken Column,"404","156","156","2",On the day of the Viceroy's arrival the,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,"341",Viceroy,Unknown,NA,"156",Male,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,"Viceroy, Unknown in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","370","22","21","5819"
"38","Hosain, Attia",Sunlight on a Broken Column,"404","156","156","2",On the day of the Viceroy's arrival the,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,"405",School-children,Unknown,NA,"156",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"School-children, Unknown in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","370","22","21","5819"
"39","Hosain, Attia",Sunlight on a Broken Column,"404","156","156","2",On the day of the Viceroy's arrival the,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,"406",Onlookers,Unknown,NA,"156",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Onlookers, Unknown in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","370","22","21","5819"
"40","Hosain, Attia",Sunlight on a Broken Column,"404","156","156","2",On the day of the Viceroy's arrival the,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,"408",Paid men,Unknown,NA,"156",Male,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Paid men, Unknown in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","370","22","21","5819"
"41","Hosain, Attia",Sunlight on a Broken Column,"411","156","156","3",All morning my uncle was kept busy with,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,"321",Hasan,Hamid,NA,"84",Male,Single,Muslim,Self-identified,NA,NA,NA,NA,NA,Present,"Hasan, Hamid in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","370","22","21","5819"
"42","Hosain, Attia",Sunlight on a Broken Column,"411","156","156","3",All morning my uncle was kept busy with,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,"417",University Authorities,Unknown,NA,"156",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"University Authorities, Unknown in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","370","22","21","5819"
"43","Hosain, Attia",Sunlight on a Broken Column,"411","156","156","3",All morning my uncle was kept busy with,"Lucknow, India in Sunlight on a Broken Column",NA,NA,NA,NA,NA,NA,NA,"418",Student-leaders,Unknown,NA,"156",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Student-leaders, Unknown in Sunlight on a Broken Column","Lucknow, India",Geographical reference,Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","370","22","21","5819"
"44","Hosain, Attia",Sunlight on a Broken Column,"419","157","158","1","Everything had gone well. Speeches had been made;",University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"341",Viceroy,Unknown,NA,"156",Male,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,"Viceroy, Unknown in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
"45","Hosain, Attia",Sunlight on a Broken Column,"419","157","158","1","Everything had gone well. Speeches had been made;",University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"422",Governor,Unknown,NA,"157",Unknown,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Governor, Unknown in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
"46","Hosain, Attia",Sunlight on a Broken Column,"419","157","158","1","Everything had gone well. Speeches had been made;",University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"423",Professors,Unknown,NA,"157",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Professors, Unknown in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
"47","Hosain, Attia",Sunlight on a Broken Column,"419","157","158","1","Everything had gone well. Speeches had been made;",University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"374",Police,Unknown,NA,"156",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Police, Unknown in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
"48","Hosain, Attia",Sunlight on a Broken Column,"419","157","158","1","Everything had gone well. Speeches had been made;",University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"424",Proctors,Unknown,NA,"157",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Proctors, Unknown in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
"49","Hosain, Attia",Sunlight on a Broken Column,"419","157","158","1","Everything had gone well. Speeches had been made;",University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"426",Students,Unknown,NA,"157",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Students, Unknown in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
"50","Hosain, Attia",Sunlight on a Broken Column,"419","157","158","1","Everything had gone well. Speeches had been made;",University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"318",Hasan,Zahra,NA,"14",Female,Single,Muslim,NA,NA,NA,NA,NA,NA,Present,"Hasan, Zahra in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
"51","Hosain, Attia",Sunlight on a Broken Column,"419","157","158","1","Everything had gone well. Speeches had been made;",University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"316",Hasan,Majida,NA,"14",Female,Single,Muslim,NA,NA,NA,NA,NA,NA,Present,"Hasan, Majida in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
"52","Hosain, Attia",Sunlight on a Broken Column,"419","157","158","1","Everything had gone well. Speeches had been made;",University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"429",Principal,Unknown,NA,"158",Unknown,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Principal, Unknown in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
"53","Hosain, Attia",Sunlight on a Broken Column,"430","158","159","1",Nita was explosive when we met to discuss,University in Sunlight on a Broken Column,NA,NA,NA,NA,NA,NA,NA,"431",Chatterjee,Nita,NA,"123",Female,Single,Hindu,Nominal,NA,NA,NA,NA,NA,Present,"Chatterjee, Nita in Sunlight on a Broken Column",University,Public,Unknown,NA,CREATED,NA,Lucknow University,NA,India,NA,NA,Lucknow,Female,India,"1913","427","22","21","5819"
